name,type,latitude,longitude,isFree,cityName,description,photoUrl
Kunsthistorisches Museum,museum,48.2031,16.3615,False,Vienna,Art museum with imperial collections and old masters.,https://images.pexels.com/photos/2065826/pexels-photo-2065826.jpeg
Albertina Museum,museum,48.2049,16.3696,False,Vienna,Museum with modern and classical art exhibitions.,https://images.pexels.com/photos/19335749/pexels-photo-19335749.jpeg
Prater Park,park,48.2167,16.4002,True,Vienna,Large public park with amusement rides and giant Ferris wheel.,https://images.pexels.com/photos/2832599/pexels-photo-2832599.jpeg
Hundertwasser House,landmark,48.2071,16.3923,True,Vienna,Colorful apartment building designed by Friedensreich Hundertwasser.,https://images.pexels.com/photos/3646713/pexels-photo-3646713.jpeg
Anne Frank House,museum,52.3752,4.8838,false,Amsterdam,Museum dedicated to Anne Frank and WWII history.,https://images.pexels.com/photos/763240/pexels-photo-763240.jpeg
Rijksmuseum,museum,52.3600,4.8852,false,Amsterdam,Museum with Dutch art from Rembrandt to Vermeer.,https://images.pexels.com/photos/208733/pexels-photo-208733.jpeg
Vondelpark,park,52.3584,4.8685,true,Amsterdam,Popular urban park with green space and sculptures.,https://images.pexels.com/photos/2031703/pexels-photo-2031703.jpeg
Charles Bridge,bridge,50.0865,14.4114,true,Prague,Historic bridge with baroque statues spanning the Vltava.,https://images.pexels.com/photos/29986005/pexels-photo-29986005.jpeg
Prague Castle,castle,50.0900,14.4006,false,Prague,Medieval castle complex and the seat of the Czech president.,https://images.pexels.com/photos/13409706/pexels-photo-13409706.jpeg
Old Town Square,square,50.0870,14.4208,true,Prague,Colorful historic square with the Astronomical Clock.,https://images.pexels.com/photos/7245230/pexels-photo-7245230.jpeg
Buda Castle,palace,47.4966,19.0399,true,Budapest,Historic castle and palace complex of Hungarian kings.,https://images.pexels.com/photos/3739322/pexels-photo-3739322.jpeg
Fisherman’s Bastion,lookout,47.5023,19.0347,true,Budapest,Neo-Romanesque terrace with panoramic city views.,https://images.pexels.com/photos/2127656/pexels-photo-2127656.jpeg
Heroes’ Square,monument,47.5146,19.0770,true,Budapest,Major square featuring statues of Hungarian leaders.,https://images.pexels.com/photos/161702/heroes-square-budapest-architecture-161702.jpeg
Old Town,area,52.2299,21.0067,true,Warsaw,Historic district rebuilt after WWII with cobbled streets.,https://images.pexels.com/photos/32468799/pexels-photo-32468799.jpeg
Royal Castle,castle,52.2470,21.0136,false,Warsaw,Former royal residence now housing art and history exhibits.,https://images.pexels.com/photos/7115505/pexels-photo-7115505.jpeg
Lazienki Park,park,52.2149,21.0347,true,Warsaw,Large park with palaces, lakes, and peacocks.,https://images.pexels.com/photos/18931648/pexels-photo-18931648.jpeg
Belém Tower,monument,38.6916,-9.2166,true,Lisbon,Fortified tower symbolizing Portugal’s Age of Discoveries.,https://images.pexels.com/photos/32109908/pexels-photo-32109908.jpeg
Jerónimos Monastery,monastery,38.6981,-9.2065,false,Lisbon,Impressive Gothic monastery and UNESCO site.,https://images.pexels.com/photos/24777941/pexels-photo-24777941.jpeg
Alfama,neighborhood,38.7139,-9.1316,true,Lisbon,Oldest Lisbon district with winding alleys and Fado music.,https://images.pexels.com/photos/436850/pexels-photo-436850.jpeg
